Module,Domain,Module Title,Topic,Question,Answer
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Refinement,How should completeness be enforced in the refinement loop?,"With a structured check (e.g. an evaluate_coverage tool) rather than parsing text, returning whether the bar is met and what's missing."
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Observability,What goes wrong without a coordinator (observability)?,Flows become untraceable and failures inconsistent and hard to reproduce.
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Observability,What does a coordinator provide for observability?,"It centralises all messages and errors, enabling debugging, control, and policy enforcement."
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Observability,Why does routing through the hub enable policy enforcement?,"Because nothing bypasses the coordinator, it can log every interaction, trace failures, retry, and enforce what subagents may do."
M3,D1,"Subagents, the Agent Tool & Sessions",Subagents,What does the Agent tool do?,Spawns a subagent with its own isolated context window and its own tool scope to handle a focused piece of work and report back.
M3,D1,"Subagents, the Agent Tool & Sessions",Subagents,"What is the ""Task"" tool, and how does it relate to the Agent tool?","""Task"" is the legacy name for the Agent tool; it still appears in code and traces. Agent tool and Task tool are the same thing."
M3,D1,"Subagents, the Agent Tool & Sessions",Subagents,What two execution patterns can subagents run in?,Parallel (several independent jobs at once) or blocking (the parent waits for the result before continuing).
M3,D1,"Subagents, the Agent Tool & Sessions",Subagents,Why delegate work to a subagent?,"To isolate context (keep the parent small/focused), focus the toolset (better tool choice), and parallelise independent work for speed."
M3,D1,"Subagents, the Agent Tool & Sessions",Context,How does a subagent receive the context it needs?,"Only via context explicitly provided in its prompt — there is no implicit memory and no shared context, so the prompt must include all instructions and data."
M3,D1,"Subagents, the Agent Tool & Sessions",Context,True or false: a subagent inherits the parent's conversation history.,"False. It starts with a blank, isolated history. Nothing is shared or inherited; everything must be passed explicitly."
M3,D1,"Subagents, the Agent Tool & Sessions",Definitions,What is an agent definition?,"A blueprint for a subagent — its identity, role, and boundaries — declaring what the agent can do before execution begins."
M3,D1,"Subagents, the Agent Tool & Sessions",Definitions,Name the four fields of an agent definition.,"name, description, system prompt, and allowed/disallowed tools."
M3,D1,"Subagents, the Agent Tool & Sessions",Definitions,Which agent-definition field sets the subagent's tool scope?,The allowed/disallowed tools field. (The system prompt sets behaviour; the description drives selection; the name identifies it.)
M3,D1,"Subagents, the Agent Tool & Sessions",Sessions,What is fork-based session management?,"Copying a conversation's state then branching it into independent sessions, each exploring a different direction in isolation — preventing cross-contamination while enabling parallel exploration."
M3,D1,"Subagents, the Agent Tool & Sessions",Sessions,What are the three benefits of forking sessions?,(1) Each session has its own history and resumable state; (2) branches run in parallel so results come faster; (3) full isolation means no shared context or leakage.
M3,D1,"Subagents, the Agent Tool & Sessions",Sessions,What is a Claude Code session?,"A stateful conversation with the agent — the accumulated history, tools, and outputs of one continuous interaction."
M3,D1,"Subagents, the Agent Tool & Sessions",Sessions,"Which command starts a new session, and which continues one?",Running `claude` starts a new session; `/resume` continues an existing one.
M3,D1,"Subagents, the Agent Tool & Sessions",Sessions,"Where can sessions live, and can they move?","Locally or remotely; they can be continued across environments — start on one machine, resume on another."
M3,D1,"Subagents, the Agent Tool & Sessions",SDKs,Anthropic SDK vs Claude Agent SDK?,"Anthropic SDK = direct API calls where you control everything (write the loop by hand). Claude Agent SDK = built-in agent loop plus tool plumbing, a higher-level abstraction."
M3,D1,"Subagents, the Agent Tool & Sessions",SDKs,Which SDK runs the agent loop for you?,"The Claude Agent SDK. With the Anthropic SDK you write the loop, dispatch tools, and keep the message history yourself."
M3,D1,"Subagents, the Agent Tool & Sessions",SDKs,When would you use the Anthropic SDK over the Claude Agent SDK?,"When you need fine-grained control — approval gates, custom logging, conditional execution. Use the Agent SDK when you just want the loop, retries, and tool plumbing handled."
M3,D1,"Subagents, the Agent Tool & Sessions",Sessions,"How do you resume a session, and what does it restore?","Use `/resume` or `claude --resume`; it uses a session_id to reload the full context/history, preserving state, tools, and prior outputs."
M3,D1,"Subagents, the Agent Tool & Sessions",Sessions,What is forking a session?,Branching from a past point into a NEW session that keeps history up to that point then diverges independently — parallel exploration without affecting the original.
M3,D1,"Subagents, the Agent Tool & Sessions",Sessions,Resume vs fork — what's the difference?,"Resume continues the same session (one timeline). Fork branches a new, independent session from a past point (a second timeline), leaving the original untouched."
M3,D1,"Subagents, the Agent Tool & Sessions",Context,What does /context show?,"Token usage and the remaining context window, broken down across messages, system, tools, and skills, plus an auto-compact buffer reserving space for summarisation."
M3,D1,"Subagents, the Agent Tool & Sessions",Context,What is the auto-compact buffer?,Window space reserved up-front so there is room to summarise (auto-compact) before the context window overflows; it is not the same as running /compact manually.
M3,D1,"Subagents, the Agent Tool & Sessions",Context,What does /compact do?,"Summarises the conversation into fewer tokens, then continues — preserving the gist to manage context limits and prevent overflow."
M3,D1,"Subagents, the Agent Tool & Sessions",Context,"What does /clear do, and what does it keep?","Resets the current chat to a blank slate, but keeps your files and memory (e.g. CLAUDE.md) — only the chat is reset."
M3,D1,"Subagents, the Agent Tool & Sessions",Context,/compact vs /clear?,/compact summarises to reduce tokens (keeps a condensed history); /clear discards the conversation entirely but keeps files and memory.
M3,D1,"Subagents, the Agent Tool & Sessions",Sessions,What does /rename do?,Labels a session with a meaningful name so it is easier to retrieve and resume later.
M3,D1,"Subagents, the Agent Tool & Sessions",Sessions,What does /rewind do?,Restores the conversation to a previous state in history — undo a bad path and re-try from a known-good point.
M3,D1,"Subagents, the Agent Tool & Sessions",Sessions,You took a wrong turn three steps ago — which command gets you back?,"/rewind, which restores an earlier state in history. (/rename only labels sessions; it doesn't change history.)"
M4,D3,Claude Code Configuration & Permissions,Settings,What are the four Claude Code settings scopes and their precedence?,"Managed > User > Project > Local (highest to lowest). On a conflict, the higher scope wins."
M4,D3,Claude Code Configuration & Permissions,Settings,Where does each settings scope live?,Managed = org-deployed; User = ~/.claude/settings.json; Project = .claude/settings.json (in repo); Local = settings.local.json (not in git).
M4,D3,Claude Code Configuration & Permissions,Settings,What is the difference between .claude/settings.json and settings.local.json?,".claude/settings.json is the Project scope, committed and shared with the team. settings.local.json is the Local scope, personal and git-ignored."
M4,D3,Claude Code Configuration & Permissions,Settings,Which settings scope has the highest priority and what can it do?,"Managed (org-wide). It is IT-enforced and, via Lockdown, can prevent user/project overrides."
M4,D3,Claude Code Configuration & Permissions,Settings,Which settings area covers API keys and forcing login org?,"Auth — API keys, AWS auth helpers, and force login method / org."
M4,D3,Claude Code Configuration & Permissions,Settings,What three values can Agents teammate mode take?,"auto, tmux, or inline."
M4,D3,Claude Code Configuration & Permissions,Settings,What are the two update channels in the Updates settings area?,latest or stable.
M4,D3,Claude Code Configuration & Permissions,Settings,What does the Lockdown settings area do?,Sets managed-only configuration so there are no user or project overrides.
M4,D3,Claude Code Configuration & Permissions,Settings,Name the configurable settings areas in Claude Code.,"Auth, Sessions, Env, Models, Output, Git, Updates, UI, Agents, Permissions, MCP, Plugins(Managed), Lockdown, Hooks, Misc."
M4,D3,Claude Code Configuration & Permissions,Permissions,What are the three permission levels?,"allow (auto-run, no prompt), ask (confirm with user), deny (block outright)."
M4,D3,Claude Code Configuration & Permissions,Permissions,What is the evaluation order of permission rules?,deny → ask → allow. Deny is checked first and the most restrictive match wins.
M4,D3,Claude Code Configuration & Permissions,Permissions,A command matches both an allow and a deny rule — what happens?,"It is blocked. Deny is evaluated first and the most restrictive level wins, so allow never applies."
M4,D3,Claude Code Configuration & Permissions,Permissions,Which tools do permission rules apply to?,"Bash, Read/Write, WebFetch, MCP, and Agents."
M4,D3,Claude Code Configuration & Permissions,Permissions,What does * do in a Bash permission rule?,It is a wildcard matching any characters and can appear anywhere in the command pattern.
M4,D3,Claude Code Configuration & Permissions,Permissions,Why does Bash(ls *) not match the bare command ls?,"Spaces matter: ls * only matches the ""ls space something"" form, so ls with no argument does not match."
M4,D3,Claude Code Configuration & Permissions,Permissions,What do Read and Edit permission rules follow by default?,"They follow your .gitignore patterns, so ignored files are respected."
M4,D3,Claude Code Configuration & Permissions,Permissions,"What do the path prefixes //, ~/, /, and none mean in Read/Edit rules?",// = absolute path; ~/ = home directory; / = project root; none = current directory.
M4,D3,Claude Code Configuration & Permissions,Permissions,What is the difference between / and // in a permission path?,A single / means the project root; a double // means a system absolute path.
M4,D3,Claude Code Configuration & Permissions,Permissions,How are WebFetch permission rules scoped?,"By domain, using WebFetch(domain:example.com); you can allow, ask, or deny per domain."
M4,D3,Claude Code Configuration & Permissions,MCP,What is the MCP rule syntax for all tools vs one tool on a server?,mcp__server covers all tools on that server; mcp__server__tool scopes to one specific tool. Wildcards are supported.
M4,D3,Claude Code Configuration & Permissions,Permissions,What does a bare tool rule (no parentheses) grant?,"Full, unscoped access to that tool — e.g. Read, Bash, WebFetch allow any invocation. Very broad."
M4,D3,Claude Code Configuration & Permissions,Tools,What does the * suffix mark in the Claude Code tools list?,"Side-effecting tools that change state or reach the network: Bash*, Edit*, WebFetch*, WebSearch*, Write*."
M4,D3,Claude Code Configuration & Permissions,Tools,Which Claude Code tools are read-only?,"Read, Grep, and Glob — they read or search/match without modifying anything."
M4,D3,Claude Code Configuration & Permissions,Tools,What does the Agent tool do?,Spawns subagents.
M4,D3,Claude Code Configuration & Permissions,Tools,Name the Task tool family.,"TaskCreate, TaskGet, TaskList, TaskUpdate, TaskStop, TaskOutput."
M4,D3,Claude Code Configuration & Permissions,Permissions,What does the default permission mode do?,Standard behaviour — prompts for permission on first use of each tool.
M4,D3,Claude Code Configuration & Permissions,Permissions,What does acceptEdits permission mode do?,Auto-accepts file-edit permissions for the session.
M4,D3,Claude Code Configuration & Permissions,Permissions,What does plan (Plan Mode) allow and forbid?,Claude can analyse but not modify files or execute commands.
M4,D3,Claude Code Configuration & Permissions,Permissions,What does dontAsk permission mode do?,Auto-denies tools unless pre-approved via /permissions or permissions.allow rules.
M4,D3,Claude Code Configuration & Permissions,Permissions,What does bypassPermissions mode do and what does it require?,Skips all permission prompts; requires a safe (isolated) environment such as a sandbox.
M4,D3,Claude Code Configuration & Permissions,Permissions,How do dontAsk and bypassPermissions differ?,dontAsk auto-DENIES anything not pre-approved (safe-by-default); bypassPermissions auto-ALLOWS everything by skipping prompts (dangerous-by-default).
M4,D3,Claude Code Configuration & Permissions,Permissions,What is --dangerously-skip-permissions?,A session setting telling Claude Code to stop prompting for permissions for the rest of the session; use only in a sandboxed environment.
M4,D3,Claude Code Configuration & Permissions,Sandbox,What is a sandbox?,A security mechanism that separates running programs from your operating system — a controlled environment for code to run safely.
M4,D3,Claude Code Configuration & Permissions,Sandbox,What does a sandbox provide?,"Storage and memory scratch space, limited network access, and restricted ability to inspect the host system."
M4,D3,Claude Code Configuration & Permissions,Sandbox,Why is a sandbox relevant to bypassPermissions?,It is the safe environment those dangerous modes assume; running with prompts off is only acceptable inside a sandbox where a runaway agent can't damage the OS.
M5,D1,Coordination Patterns & Findings,Findings,What does passing raw text findings between agents lose?,"Attribution and provenance — a downstream agent can't trace which source supports a claim, so outputs are unverifiable and reliability is weak."
M5,D1,Coordination Patterns & Findings,Findings,Why does the raw findings problem get worse with more agents?,"Each hand-off strips a little more context; raw text mixes content and conclusions but discards the metadata that makes them checkable, so errors compound across the chain."
M5,D1,Coordination Patterns & Findings,Findings,What is the solution to the raw findings dilemma?,"Pass structured finding objects that keep content + metadata together, with fields like id, type, confidence, and source details."
M5,D1,Coordination Patterns & Findings,Findings,Name four fields a structured finding object carries.,"id (stable identifier), type (fact/metric/quote/risk), confidence (how sure), and source (provenance: URL/document/tool call)."
M5,D1,Coordination Patterns & Findings,Findings,What does keeping content and metadata together in findings enable?,"Traceability, validation, and reliable synthesis — a synthesiser can cite the exact source and a checker can re-verify low-confidence findings."
M5,D1,Coordination Patterns & Findings,Parallelism,When should subagents run in parallel?,When tasks are independent (no shared dependencies); it improves speed and coverage by exploring multiple paths at once.
M5,D1,Coordination Patterns & Findings,Parallelism,When should subagents run sequentially instead of in parallel?,Only when an output depends on an earlier step — i.e. a later step consumes an earlier step's result.
M5,D1,Coordination Patterns & Findings,Coordination,What is procedural (rigid) coordination?,"Step-by-step prompts that make the coordinator act like a script runner, executing a fixed sequence instead of reasoning about the goal."
M5,D1,Coordination Patterns & Findings,Coordination,Why does procedural coordination break?,"It fails on missing or unexpected inputs and when tasks don't fit the prescribed flow, leading to wasted calls and poor adaptability."
M5,D1,Coordination Patterns & Findings,Coordination,What is goal-oriented coordination?,"Define a clear end goal plus a quality bar, not fixed steps; the coordinator dynamically decides which agents to use and in what order."
M5,D1,Coordination Patterns & Findings,Coordination,What advantages does goal-oriented coordination give over procedural?,"Flexibility, better reasoning, and efficient execution — it adapts to surprises instead of breaking."
M5,D1,Coordination Patterns & Findings,Quality,What is quality-criteria-driven coordination?,"Using explicit criteria (coverage, sources, depth) as the definition of done; the coordinator evaluates outputs against them before finishing."
M5,D1,Coordination Patterns & Findings,Quality,What does a coordinator do if quality criteria are unmet?,"Identify the specific gaps and re-delegate targeted work to close them, then re-evaluate."
M5,D1,Coordination Patterns & Findings,Control,What is prompt-based guidance and its weakness?,"Instructions that guide behaviour but don't enforce it; the model can drift or ignore the rules, so there's no guarantee of the correct sequence."
M5,D1,Coordination Patterns & Findings,Control,What is programmatic enforcement (gates)?,"Hard rules in code that make steps impossible to skip; a gate blocks execution if prerequisites are missing, ensuring correct order and reliability."
M5,D1,Coordination Patterns & Findings,Control,How do prompt guidance and programmatic gates differ?,Guidance is a suggestion that can be ignored; a gate is a hard rule that blocks execution and guarantees order.
M5,D1,Coordination Patterns & Findings,Hooks,What is the hooks pattern?,"Hooks run before and after tool calls; they implement gates and state updates, giving a central place for control logic."
M5,D1,Coordination Patterns & Findings,Hooks,What are the two hook points and what does each do?,PreToolUse validates and enforces rules (can block); PostToolUse stores results and updates state (after the call ran).
M5,D1,Coordination Patterns & Findings,Hooks,"Where do you put a gate that must block a step, Pre or PostToolUse?",PreToolUse — it runs before the tool and can block execution if prerequisites are missing. PostToolUse is too late to block.
M5,D1,Coordination Patterns & Findings,Hooks,"Where do you record a tool result or update state, Pre or PostToolUse?",PostToolUse — it runs after the tool returns and is where you store results and update state.
M5,D1,Coordination Patterns & Findings,Handoff,What is a handoff protocol?,"A structured package assembled before escalation that bundles context, actions taken, and blockers so the receiver needn't dig through history."
M5,D1,Coordination Patterns & Findings,Handoff,What three things does a handoff package include?,"Context (the situation/goal), actions taken (what was tried), and blockers (what's stuck and why escalate)."
M5,D1,Coordination Patterns & Findings,Workflow,What is prompt chaining and when is it best?,"A fixed sequence of agent steps where each output feeds the next; best for predictable, repeatable workflows."
M5,D1,Coordination Patterns & Findings,Adaptive,What is dynamic adaptive decomposition?,"Deciding the next step based on findings so far — flexible, not a fixed sequence."
M5,D1,Coordination Patterns & Findings,Adaptive,What is an adaptive investigation plan and when does it stop?,An approach where findings generate new questions; it stops when no new signal emerges.
M5,D1,Coordination Patterns & Findings,Adaptive,How does adaptive decomposition differ from prompt chaining?,Prompt chaining uses steps fixed in advance and stops at the last step; adaptive decomposition decides steps from findings and stops when no new signal emerges.
M6,D5,"Resilience: Errors, Recovery & Escalation",Sessions,"After a true session reset, what does the model remember of past state?","Nothing. The API is stateless; ""memory"" is just re-sent message history. After a reset you must provide a fresh structured summary to rebuild context."
M6,D5,"Resilience: Errors, Recovery & Escalation",Sessions,What is the difference between /resume and writing a structured summary?,"/resume reloads the full prior transcript into the context window. A structured summary is what you write when the transcript is gone or unusable (crashed process, fresh request, context too large)."
M6,D5,"Resilience: Errors, Recovery & Escalation",Sessions,What should a structured resume summary contain?,"The goal, what's completed, what's outstanding, and any decisions or blockers to respect — not a raw transcript dump. Same shape as the Module 5 Handoff Protocol."
M6,D5,"Resilience: Errors, Recovery & Escalation",Prompting,How can a system prompt conflict with tools?,"A system prompt can override tool intent: it may forbid what a tool invites (e.g. ""never refund"" + a process_refund tool) or mandate what a tool can't deliver, causing erratic behaviour."
M6,D5,"Resilience: Errors, Recovery & Escalation",Prompting,An agent refuses to use a tool it clearly has. What should you suspect first?,"A system-prompt constraint conflicting with the tool's intent — not a model fault. Fix by aligning the prompt and toolset, not by using a bigger model."
M6,D5,"Resilience: Errors, Recovery & Escalation",Prompting,How do you resolve a system-prompt-vs-tool conflict?,"Make the prompt and toolset agree (remove the tool from that context or encode the boundary in its description), state precedence explicitly, and audit long prompts for hidden constraints."
M6,D5,"Resilience: Errors, Recovery & Escalation",MCP,"In MCP, does a tool failing mean the loop has failed?","No. A tool failure is not a loop failure. The agent still receives the result and keeps reasoning, deciding the next action from the error."
M6,D5,"Resilience: Errors, Recovery & Escalation",MCP,How is a tool error returned to the model?,As a tool_result block with is_error: true (MCP surfaces this as isError). The model reads it as data and continues the loop.
M6,D5,"Resilience: Errors, Recovery & Escalation",MCP,What is the error type to action mapping for tool failures?,"Transient (rate_limited, internal) -> retry; bad input (validation) -> fix the arguments; dead end (not_found, no tool) -> escalate / ask the user."
M6,D5,"Resilience: Errors, Recovery & Escalation",Errors,What does the retryable flag tell the caller?,"retryable: true -> safe to retry (transient). retryable: false -> communicate the problem, don't loop (permanent; another attempt can't help)."
M6,D5,"Resilience: Errors, Recovery & Escalation",Errors,What is the fixed error category vocabulary and its retryable values?,"validation (false), not_found (false), rate_limited (true), internal (true). Category lets the caller branch deterministically."
M6,D5,"Resilience: Errors, Recovery & Escalation",Errors,What two failure modes does the retryable flag prevent?,"Blindly retrying forever a permanent error (e.g. validation), and giving up on a transient blip that just needs a short wait (e.g. rate_limited)."
M6,D5,"Resilience: Errors, Recovery & Escalation",Subagents,What is the BAD subagent failure pattern?,"Propagating every error straight up to the coordinator, which then gets a useless failure with no detail or remedy and the whole job stalls on a recoverable blip."
M6,D5,"Resilience: Errors, Recovery & Escalation",Subagents,What is the BETTER subagent failure recovery pattern?,"Retry locally (if retryable) -> try a fallback (alternate tool/source) -> escalate only if options are exhausted, with the reason attached."
M6,D5,"Resilience: Errors, Recovery & Escalation",Escalation,"What are the three hard escalation triggers, and why do they override confidence?","policy_gap, customer_request, cannot_progress. They concern authority and scope, not certainty — a confident answer to a question you shouldn't answer is the most dangerous output."
M6,D5,"Resilience: Errors, Recovery & Escalation",Escalation,How does confidence-based routing work for in-scope tickets?,"confidence >= 0.85 -> auto-resolve; >= 0.60 -> human review (agent drafts, person approves); < 0.60 -> escalate. Thresholds are a business decision set by risk appetite."
M6,D5,"Resilience: Errors, Recovery & Escalation",Escalation,Why should an escalation carry its reason and a draft?,"So the human starts informed, not cold — this is the Handoff Protocol package (context, actions, blockers). The human-review band is the in-the-loop sweet spot."
M7,D2,Tool Design & MCP,Tool design,Does adding more tools increase an agent's capability?,"No. More tools ≠ more capability. Past a point it confuses selection, increases hesitation, and encourages hallucinated tool combos."
M7,D2,Tool Design & MCP,Tool design,What are the three failure modes of too many tools?,"Confuses selection (wrong tool chosen), increases hesitation (unnecessary clarifications), and encourages hallucinated tool combinations."
M7,D2,Tool Design & MCP,Tool design,What is the rule for sizing a toolset?,"Prefer a small, general-purpose toolset over many niche ones."
M7,D2,Tool Design & MCP,Tool design,"What does ""tool presence = implicit permission"" mean?","If a tool exists in the model's list, it assumes it should be used. Giving an agent a tool it shouldn't touch invites misuse."
M7,D2,Tool Design & MCP,Tool design,Give an example of tools specialisation misuse.,"A synthesis agent given a search tool will start searching — a role mismatch causing wrong tool usage, duplicated work, and off-role drift."
M7,D2,Tool Design & MCP,Tool design,A synthesis subagent keeps doing its own searches. What's the fix?,Remove the search tool from that agent — not prompt it harder. Presence reads as permission; scope toolsets to each agent's role.
M7,D2,Tool Design & MCP,Tool choice,What does the tool_choice parameter control?,How much freedom the model has over whether and which tool to call — from flexible (AUTO) to fully forced (TOOL).
M7,D2,Tool Design & MCP,Tool choice,"What does tool_choice AUTO do, and when is it used?",The model decides freely whether/which tool to call — flexible but unpredictable. Used for general agents (the default).
M7,D2,Tool Design & MCP,Tool choice,What does tool_choice ANY do?,Guarantees some tool use — the model must call a tool but picks which one.
M7,D2,Tool Design & MCP,Tool choice,"What does tool_choice TOOL do, and when is it used?","Fully deterministic — forces one named tool (a guaranteed path). Used for strict pipelines / enforcement, e.g. extraction."
M7,D2,Tool Design & MCP,Tool choice,What does tool_choice NONE do?,Bans all tools — pure reasoning / text output only.
M7,D2,Tool Design & MCP,Tool choice,How do you force Claude to call a specific tool?,"Set tool_choice to {""type"": ""tool"", ""name"": ""tool_name""}; e.g. forcing extract_invoice for structured extraction."
M7,D2,Tool Design & MCP,MCP,"When you connect multiple MCP servers, how does the model see the tools?","All tools flatten into one list — no grouping by server, no awareness of origin, just one large decision surface."
M7,D2,Tool Design & MCP,MCP,"What is the risk of MCP discovery, and the mitigation?","Risk: tool explosion without structure. Mitigation: limit the servers you connect, or filter the tools before exposing them."
M7,D2,Tool Design & MCP,MCP,What is the difference between MCP Tools and Resources?,"Tools = actions (DO something), reactive when Claude calls them. Resources = data (READ something), proactive — fetched e.g. when @-mentioned."
M7,D2,Tool Design & MCP,MCP,Tool or Resource: an @-mentioned file's contents appear in context before Claude reasons?,"A Resource — resources supply data proactively (e.g. when @-mentioned), before the model reasons."
M7,D2,Tool Design & MCP,MCP,What are direct vs templated resource URIs?,Direct = a static URI (docs://documents). Templated = a parameterised URI (docs://documents/{doc_id}); the SDK parses the param into the handler.
M7,D2,Tool Design & MCP,Built-in,What is the mental model for a coding agent's built-in tools?,"File system + shell primitives: Read, Grep, Glob, Edit, Bash."
M7,D2,Tool Design & MCP,Built-in,"What do Read, Grep, and Glob each do?",Read = load a file into context. Grep = search inside files (by content). Glob = find files by pattern (by name).
M7,D2,Tool Design & MCP,Built-in,Which built-in tool needs permission and why?,Edit — it modifies files. Read/Grep/Glob are read-only; Bash executes commands and is also treated carefully.
M7,D2,Tool Design & MCP,Schemas,What does JSON Schema define?,"Structure, not behaviour. It's a general data-validation spec adopted for tool calling."
M7,D2,Tool Design & MCP,Schemas,"What do type, properties, required, and enum mean in JSON Schema?",type = data shape; properties = the fields; required = which fields must exist; enum = allowed values for a field.
M7,D2,Tool Design & MCP,Schemas,What is a tool's input_schema?,The schema the model generates inputs to match — i.e. how Claude calls your tool. It must be clear and constrained.
